Original_ID,Rule,New_Question,New_Answer,Source
Q01,Rule 1,"In the past semester, how often did you feel stressed during the academic semester?","Looking back, I often felt stressed about once or twice a week, especially during exam periods and assignment deadlines.",ChatGPT
Q01,Rule 2,How do you manage or cope with feeling stressed during the academic semester?,"I often feel stressed about once or twice a week, especially during exam periods and assignment deadlines.",ChatGPT
Q01,Rule 3,How often do you feel anxiety during the academic semester as a college learner?,"I often feel anxiety about once or twice a week, especially during exam periods and assignment deadlines.",ChatGPT
Q01,Rule 4,"Among students, how often do you feel stressed during the academic semester?","It has been observed that I often feel stressed about once or twice a week, especially during exam periods and assignment deadlines.",ChatGPT
Q01,Rule 5,"Generally speaking, how often do you feel stressed during the academic semester?","In most cases, I often feel stressed about once or twice a week, especially during exam periods and assignment deadlines.",ChatGPT
Q02,Rule 1,"In the past semester, how frequently did you experience difficulty sleeping due to academic pressure?","Looking back, I experienced difficulty sleeping about three times a week when the workload increased significantly.",ChatGPT
Q02,Rule 2,How do you handle or reduce difficulty sleeping caused by academic pressure?,I experience difficulty sleeping about three times a week when the workload increases significantly.,ChatGPT
Q02,Rule 3,How frequently do you experience difficulty sleeping due to academic pressure as a college learner?,I experience difficulty sleeping about three times a week when the workload increases significantly.,ChatGPT
Q02,Rule 4,"Among students, how frequently do you experience difficulty sleeping due to academic pressure?",It has been observed that I experience difficulty sleeping about three times a week when the workload increases significantly.,ChatGPT
Q02,Rule 5,"Generally speaking, how frequently do you experience difficulty sleeping due to academic pressure?","In most cases, I experience difficulty sleeping about three times a week when the workload increases significantly.",ChatGPT
Q03,Rule 1,"In the past semester, how often did you feel anxious before exams or important presentations?","Looking back, I almost always felt anxious before exams, experiencing nervousness at least a day before the event.",ChatGPT
Q03,Rule 2,How do you prepare or cope with anxiety before exams or important presentations?,"I almost always feel anxious before exams, experiencing nervousness at least a day before the event.",ChatGPT
Q03,Rule 3,How often do you feel anxiety before exams or important presentations as a college learner?,"I almost always feel anxiety before exams, experiencing nervousness at least a day before the event.",ChatGPT
Q03,Rule 4,"Among students, how often do you feel anxious before exams or important presentations?","It has been observed that I almost always feel anxious before exams, experiencing nervousness at least a day before the event.",ChatGPT
Q03,Rule 5,"Generally speaking, how often do you feel anxious before exams or important presentations?","In most cases, I almost always feel anxious before exams, experiencing nervousness at least a day before the event.",ChatGPT
Q04,Rule 1,"In the past semester, how regularly did you take breaks to rest during your study sessions?","Looking back, I tried to take short breaks every 45 to 60 minutes while studying to maintain focus and reduce fatigue.",ChatGPT
Q04,Rule 2,How do you plan or structure your breaks during study sessions to stay effective?,I try to take short breaks every 45 to 60 minutes while studying to maintain focus and reduce fatigue.,ChatGPT
Q04,Rule 3,How regularly do you take breaks to rest during your study sessions as a college learner?,I try to take short breaks every 45 to 60 minutes while studying to maintain focus and reduce fatigue.,ChatGPT
Q04,Rule 4,"Among students, how regularly do you take breaks to rest during your study sessions?",It has been observed that I try to take short breaks every 45 to 60 minutes while studying to maintain focus and reduce fatigue.,ChatGPT
Q04,Rule 5,"Generally speaking, how regularly do you take breaks to rest during your study sessions?","In most cases, I try to take short breaks every 45 to 60 minutes while studying to maintain focus and reduce fatigue.",ChatGPT
Q05,Rule 1,"In the past semester, how often did you engage in physical exercise to manage stress?","Looking back, I exercised about two to three times per week, which helped reduce my stress levels significantly.",ChatGPT
Q05,Rule 2,How do you use physical exercise to manage stress effectively?,"I exercise about two to three times per week, which helps reduce my stress levels significantly.",ChatGPT
Q05,Rule 3,How often do you engage in physical exercise to manage anxiety as a college learner?,"I exercise about two to three times per week, which helps reduce my anxiety levels significantly.",ChatGPT
Q05,Rule 4,"Among students, how often do you engage in physical exercise to manage stress?","It has been observed that I exercise about two to three times per week, which helps reduce my stress levels significantly.",ChatGPT
Q05,Rule 5,"Generally speaking, how often do you engage in physical exercise to manage stress?","In most cases, I exercise about two to three times per week, which helps reduce my stress levels significantly.",ChatGPT
Q06,Rule 1,"In the past semester, how frequently did you talk to friends or family about your mental health concerns?","Looking back, I usually talked to my close friends about my feelings once or twice a month when things got difficult.",ChatGPT
Q06,Rule 2,How do you communicate with friends or family about your mental health concerns?,I usually talk to my close friends about my feelings once or twice a month when things get difficult.,ChatGPT
Q06,Rule 3,How frequently do you talk to friends or family about your psychological well-being concerns?,I usually talk to my close friends about my feelings once or twice a month when things get difficult.,ChatGPT
Q06,Rule 4,"Among students, how frequently do you talk to friends or family about your mental health concerns?",It has been observed that I usually talk to my close friends about my feelings once or twice a month when things get difficult.,ChatGPT
Q06,Rule 5,"Generally speaking, how frequently do you talk to friends or family about your mental health concerns?","In most cases, I usually talk to my close friends about my feelings once or twice a month when things get difficult.",ChatGPT
Q07,Rule 1,"In the past semester, how often did you feel overwhelmed by the amount of academic work assigned?","Looking back, I felt overwhelmed at least once a week, particularly when multiple assignments were due simultaneously.",ChatGPT
Q07,Rule 2,How do you deal with feeling overwhelmed by the amount of academic work assigned?,"I feel overwhelmed at least once a week, particularly when multiple assignments are due simultaneously.",ChatGPT
Q07,Rule 3,How often do you feel overwhelmed by the amount of academic work assigned as a college learner?,"I feel overwhelmed at least once a week, particularly when multiple assignments are due simultaneously.",ChatGPT
Q07,Rule 4,"Among students, how often do you feel overwhelmed by the amount of academic work assigned?","It has been observed that I feel overwhelmed at least once a week, particularly when multiple assignments are due simultaneously.",ChatGPT
Q07,Rule 5,"Generally speaking, how often do you feel overwhelmed by the amount of academic work assigned?","In most cases, I feel overwhelmed at least once a week, particularly when multiple assignments are due simultaneously.",ChatGPT
Q08,Rule 1,"In the past semester, how regularly did you seek professional mental health support or counseling?","Looking back, I sought counseling twice this year, but most students rarely accessed professional mental health support.",ChatGPT
Q08,Rule 2,How do you decide when to seek professional mental health support or counseling?,"I have sought counseling twice this year, but most students rarely access professional mental health support.",ChatGPT
Q08,Rule 3,How regularly do you seek professional psychological well-being assistance or counseling?,"I have sought counseling twice this year, but most students rarely access professional psychological well-being assistance.",ChatGPT
Q08,Rule 4,"Among students, how regularly do you seek professional mental health support or counseling?","It has been observed that I have sought counseling twice this year, but most students rarely access professional mental health support.",ChatGPT
Q08,Rule 5,"Generally speaking, how regularly do you seek professional mental health support or counseling?","In most cases, I have sought counseling twice this year, but most students rarely access professional mental health support.",ChatGPT
Q09,Rule 1,"In the past semester, how often did you experience mood changes that affected your academic performance?","Looking back, my mood changes affected my studies about once a week, especially during high-stress periods.",ChatGPT
Q09,Rule 2,How do mood changes influence your academic performance and how do you manage them?,"My mood changes affect my studies about once a week, especially during high-stress periods.",ChatGPT
Q09,Rule 3,How often do you experience mood changes that affect your academic performance as a college learner?,"My mood changes affect my studies about once a week, especially during high-stress periods.",ChatGPT
Q09,Rule 4,"Among students, how often do you experience mood changes that affect your academic performance?","It has been observed that my mood changes affect my studies about once a week, especially during high-stress periods.",ChatGPT
Q09,Rule 5,"Generally speaking, how often do you experience mood changes that affect your academic performance?","In most cases, my mood changes affect my studies about once a week, especially during high-stress periods.",ChatGPT
Q10,Rule 1,"In the past semester, how frequently did you use social media as a way to cope with stress?","Looking back, I used social media for about an hour daily as a temporary distraction from academic pressure.",ChatGPT
Q10,Rule 2,How do you use social media to cope with stress and academic pressure?,I use social media for about an hour daily as a temporary distraction from academic pressure.,ChatGPT
Q10,Rule 3,How frequently do you use social media as a way to cope with anxiety?,I use social media for about an hour daily as a temporary distraction from academic pressure.,ChatGPT
Q10,Rule 4,"Among students, how frequently do you use social media as a way to cope with stress?",It has been observed that I use social media for about an hour daily as a temporary distraction from academic pressure.,ChatGPT
Q10,Rule 5,"Generally speaking, how frequently do you use social media as a way to cope with stress?","In most cases, I use social media for about an hour daily as a temporary distraction from academic pressure.",ChatGPT
Q11,Rule 1,"In the past semester, why did students seek mental health support at universities?","Looking back, students sought support to manage academic pressure, relationship issues, and to develop effective coping strategies.",ChatGPT
Q11,Rule 2,How do students decide to seek mental health support at universities?,"Students seek support to manage academic pressure, relationship issues, and to develop effective coping strategies.",ChatGPT
Q11,Rule 3,Why do learners seek psychological well-being assistance at colleges?,"Learners seek assistance to manage academic pressure, relationship issues, and to develop effective coping strategies.",ChatGPT
Q11,Rule 4,"Among students, why do students seek mental health support at universities?","It has been observed that students seek support to manage academic pressure, relationship issues, and to develop effective coping strategies.",ChatGPT
Q11,Rule 5,"Generally speaking, why do students seek mental health support at universities?","In most cases, students seek support to manage academic pressure, relationship issues, and to develop effective coping strategies.",ChatGPT
