Original_ID,Rule,New_Question,New_Answer,Source
Q01,Rule 1,"Reflecting on the past semester, how often do you feel stressed during the academic semester?","Based on my experience, i often feel stressed about once or twice a week, especially during exam periods and assignment deadlines.",Gemini
Q01,Rule 2,How often do you feel stressed during the academic semester?,"To elaborate further, i often feel stressed about once or twice a week, especially during exam periods and assignment deadlines.",Gemini
Q01,Rule 3,How often do you feel anxious during the academic semester?,"I often feel anxious about once or twice a week, especially during exam periods and assignment deadlines.",Gemini
Q01,Rule 4,"Considering the context of student life, how often do you feel stressed during the academic semester?","Research suggests that i often feel stressed about once or twice a week, especially during exam periods and assignment deadlines.",Gemini
Q01,Rule 5,"From a student's perspective, how often do you feel stressed during the academic semester?","More often than not, i often feel stressed about once or twice a week, especially during exam periods and assignment deadlines.",Gemini
Q02,Rule 1,"Reflecting on the past semester, how frequently do you experience difficulty sleeping due to academic pressure?","Based on my experience, i experience difficulty sleeping about three times a week when the workload increases significantly.",Gemini
Q02,Rule 2,How often exactly do you experience difficulty sleeping due to academic pressure?,"To elaborate further, i experience difficulty sleeping about three times a week when the workload increases significantly.",Gemini
Q02,Rule 3,How frequently do you experience difficulty sleeping due to scholastic pressure?,I experience difficulty sleeping about three times a week when the workload increases significantly.,Gemini
Q02,Rule 4,"Considering the context of student life, how frequently do you experience difficulty sleeping due to academic pressure?",Research suggests that i experience difficulty sleeping about three times a week when the workload increases significantly.,Gemini
Q02,Rule 5,"From a student's perspective, how frequently do you experience difficulty sleeping due to academic pressure?","More often than not, i experience difficulty sleeping about three times a week when the workload increases significantly.",Gemini
Q03,Rule 1,"Reflecting on the past semester, how often do you feel anxious before exams or important presentations?","Based on my experience, i almost always feel anxious before exams, experiencing nervousness at least a day before the event.",Gemini
Q03,Rule 2,How often do you feel anxious before exams or important presentations?,"To elaborate further, i almost always feel anxious before exams, experiencing nervousness at least a day before the event.",Gemini
Q03,Rule 3,How regularly do you feel anxious before exams or important presentations?,"I almost always experience anxious before exams, experiencing nervousness at least a day before the event.",Gemini
Q03,Rule 4,"Considering the context of student life, how often do you feel anxious before exams or important presentations?","Research suggests that i almost always feel anxious before exams, experiencing nervousness at least a day before the event.",Gemini
Q03,Rule 5,"From a student's perspective, how often do you feel anxious before exams or important presentations?","More often than not, i almost always feel anxious before exams, experiencing nervousness at least a day before the event.",Gemini
