ID,Group,Question_EN,Answer_EN,Question_VI_Gemini,Answer_VI_Gemini,BLEU1,BLEU2,BLEU3,BLEU4,Fluency,Adequacy,Grammar,Nhan_xet
Q01,Frequency,How often do you feel stressed during the academic semester?,"I often feel stressed about once or twice a week, especially during exam periods and assignment deadlines.",Bạn có thường xuyên cảm thấy căng thẳng trong học kỳ không?,"Mình thường xuyên cảm thấy căng thẳng khoảng một hoặc hai lần mỗi tuần, đặc biệt là vào các kỳ thi và thời hạn nộp bài tập.",0.0,0.0,0.0,0.0,5,5,5,"Bản dịch tự nhiên, sát nghĩa và phù hợp với ngữ cảnh sinh viên."
Q02,Frequency,How frequently do you experience difficulty sleeping due to academic pressure?,I experience difficulty sleeping about three times a week when the workload increases significantly.,Bạn có thường xuyên bị mất ngủ do áp lực học tập không?,Mình bị khó ngủ khoảng ba lần một tuần khi khối lượng công việc tăng lên đáng kể.,0.0384,0.0,0.0,0.0,5,5,5,"Cấu trúc câu gãy gọn, truyền tải đúng tần suất được nêu trong bản gốc."
Q03,Frequency,How often do you feel anxious before exams or important presentations?,"I almost always feel anxious before exams, experiencing nervousness at least a day before the event.",Bạn có hay cảm thấy lo lắng trước các kỳ thi hoặc các buổi thuyết trình quan trọng không?,"Mình hầu như luôn cảm thấy lo lắng trước các kỳ thi, sự bồn chồn xuất hiện ít nhất một ngày trước khi sự kiện diễn ra.",0.0,0.0,0.0,0.0,5,5,5,"Sử dụng từ ngữ (bồn chồn, lo lắng) rất phù hợp với tâm lý trước kỳ thi."
Q04,Frequency,How regularly do you take breaks to rest during your study sessions?,I try to take short breaks every 45 to 60 minutes while studying to maintain focus and reduce fatigue.,Bạn có thường xuyên nghỉ ngơi trong các buổi học không?,Mình cố gắng nghỉ giải lao ngắn sau mỗi 45 đến 60 phút học tập để duy trì sự tập trung và giảm bớt mệt mỏi.,0.0384,0.0,0.0,0.0,5,5,5,"Bản dịch trôi chảy, diễn đạt rõ ràng mục đích của việc nghỉ giải lao."
Q05,Frequency,How often do you engage in physical exercise to manage stress?,"I exercise about two to three times per week, which helps reduce my stress levels significantly.",Bạn có thường xuyên tập thể dục để giải tỏa căng thẳng không?,"Mình tập thể dục khoảng hai đến ba lần mỗi tuần, việc này giúp giảm mức độ căng thẳng của mình một cách đáng kể.",0.0,0.0,0.0,0.0,5,5,5,Chuyển ngữ chính xác và tự nhiên về lợi ích của việc tập thể dục.
Q06,Frequency,How frequently do you talk to friends or family about your mental health concerns?,I usually talk to my close friends about my feelings once or twice a month when things get difficult.,Bạn có thường xuyên tâm sự với bạn bè hoặc gia đình về các vấn đề sức khỏe tâm thần của mình không?,Mình thường trò chuyện với bạn thân về cảm xúc của mình một hoặc hai lần mỗi tháng khi gặp khó khăn.,0.0,0.0,0.0,0.0,5,5,5,"Cách xưng hô ""mình"" tạo cảm giác gần gũi và đúng tinh thần sinh viên."
Q07,Frequency,How often do you feel overwhelmed by the amount of academic work assigned?,"I feel overwhelmed at least once a week, particularly when multiple assignments are due simultaneously.",Bạn có thường cảm thấy bị quá tải bởi lượng bài vở được giao không?,"Mình cảm thấy bị ngợp ít nhất một lần mỗi tuần, đặc biệt là khi có nhiều bài tập cùng đến hạn nộp một lúc.",0.0,0.0,0.0,0.0,5,5,5,"Dùng từ ""bị ngợp"" rất xác đáng để mô tả cảm giác quá tải bài vở."
Q08,Frequency,How regularly do you seek professional mental health support or counseling?,"I have sought counseling twice this year, but most students rarely access professional mental health support.",Bạn có thường xuyên tìm kiếm sự hỗ trợ hoặc tư vấn tâm lý chuyên nghiệp không?,"Mình đã đi tư vấn hai lần trong năm nay, nhưng hầu hết sinh viên rất hiếm khi tiếp cận các dịch vụ hỗ trợ sức khỏe tâm thần chuyên nghiệp.",0.0,0.0,0.0,0.0,5,5,5,Chuyển tải tốt sự đối lập giữa trải nghiệm cá nhân và thực trạng chung.
Q09,Frequency,How often do you experience mood changes that affect your academic performance?,"My mood changes affect my studies about once a week, especially during high-stress periods.",Bạn có thường gặp phải những thay đổi tâm trạng làm ảnh hưởng đến kết quả học tập không?,"Sự thay đổi tâm trạng ảnh hưởng đến việc học của mình khoảng một lần mỗi tuần, nhất là trong những giai đoạn áp lực cao.",0.0,0.0,0.0,0.0,5,5,5,"Câu văn mạch lạc, phản ánh đúng tác động của tâm trạng đến học tập."
Q10,Frequency,How frequently do you use social media as a way to cope with stress?,I use social media for about an hour daily as a temporary distraction from academic pressure.,Bạn có thường xuyên sử dụng mạng xã hội như một cách để đối phó với căng thẳng không?,Mình sử dụng mạng xã hội khoảng một tiếng mỗi ngày như một cách giải khuây tạm thời khỏi áp lực học tập.,0.0,0.0,0.0,0.0,5,5,5,Diễn đạt tự nhiên ý nghĩa của việc sử dụng mạng xã hội như một công cụ giải trí.
